sep=,
0,15
1,16
2,20
3,21
4,18
5,35
6,36
7,22
8,24
9,29
10,30
11,32
12,30
13,25
14,31
15,35
16,21
17,17
18,14
19,6
20,1
21,2
22,7
23,6
24,2
25,2
26,1
27,1
28,1
29,1
30,4
31,6
32,24
33,23
34,24
35,28
36,23
37,19
38,22
39,20
40,24
41,22
42,20
43,30
44,40
45,54
46,63
47,58
48,37
49,38
50,35
51,35
52,33
53,28
54,34
55,42
56,61
57,65
58,70
59,67
60,75
61,67
62,60
63,62
64,54
65,66
66,64
67,51
68,55
69,51
70,51
71,47
72,58
73,59
74,64
75,64
76,63
77,58
78,49
79,53
80,28
81,23
82,22
83,19
84,15
85,13
86,8
87,11
88,4
89,6
90,14
91,18
92,13
93,17
94,18
95,22
96,21
97,22
98,23
99,20
100,23
101,20
102,17
103,15
104,12
105,9
106,7
107,16
108,13
109,17
110,18
111,11
112,28
113,34
114,40
115,22
116,18
117,24
118,26
119,35
120,29
121,26
122,31
123,30
124,23
125,25
126,27
127,27
128,15
129,17
130,9
131,9
132,3
133,6
134,7
135,4
136,4
137,5
138,10
139,10
140,11
141,7
142,6
143,4
144,15
145,19
146,11
147,17
148,19
149,31
150,41
151,40
152,33
153,27
154,26
155,18
156,16
157,17
158,20
159,19
160,22
161,27
162,16
163,17
164,27
165,25
166,27
167,21
168,16
169,13
170,24
171,19
172,29
173,27
174,29
175,29
176,26
177,25
178,30
179,29
180,35
181,28
182,20
183,20
184,16
185,15
186,15
187,21
188,21
189,23
190,22
191,15
192,20
193,25
194,20
195,16
196,15
197,12
198,11
199,20
200,12
201,6
202,6
203,2
204,3
205,5
206,8
207,12
208,15
209,14
210,13
211,4
212,4
213,2
214,0
215,4
216,8
217,15
218,15
219,27
220,27
221,20
222,23
223,12
224,3
225,7
226,15
227,9
228,10
229,11
230,11
231,9
232,9
233,12
234,5
235,4
236,5
237,10
238,9
239,14
240,29
241,21
242,22
243,22
244,33
245,44
246,44
247,35
248,35
249,38
250,38
251,36
252,31
253,33
254,23
255,31
256,21
257,25
258,30
259,29
260,25
261,26
262,24
263,20
264,28
265,17
266,19
267,25
268,17
269,21
270,34
271,34
272,26
273,30
274,31
275,26
276,29
277,32
278,33
279,30
280,19
281,13
282,27
283,36
284,33
285,32
286,14
287,9
288,8
289,14
290,7
291,3
292,2
293,0
294,0
295,2
296,4
297,5
298,3
299,1
300,2
301,3
302,3
303,4
304,21
305,18
306,17
307,19
308,37
309,32
310,30
311,13
312,11
313,10
314,8
315,6
316,8
317,8
318,20
319,23
320,11
321,7
322,14
323,2
324,8
325,12
326,13
327,12
328,8
329,11
330,11
331,17
332,16
333,10
334,11
335,15
336,9
337,10
338,15
339,14
340,18
341,12
342,20
343,22
344,26
345,26
346,16
347,13
348,12
349,9
350,3
351,6
352,16
353,18
354,20
355,23
356,19
357,21
358,16
359,13
360,9
361,4
362,4
363,2
364,2
365,4
366,2
367,1
368,0
369,1
370,1
371,1
372,3
373,3
374,1
375,3
376,3
377,3
378,3
379,1
380,0
381,0
382,0
383,1
384,3
385,1
386,0
387,2
388,1
389,1
390,2
391,5
392,1
393,1
394,2
395,1
396,1
397,3
398,2
399,2
400,0
401,1
402,1
403,0
404,0
405,0
406,0
407,1
408,0
409,2
410,3
411,3
412,0
413,2
414,3
415,0
416,2
417,1
418,1
419,0
420,0
421,1
422,0
423,1
424,1
425,0
426,1
427,2
428,0
429,1
430,2
431,4
432,7
433,4
434,5
435,8
436,6
437,4
438,1
439,1
440,8
441,5
442,1
443,1
444,1
445,1
446,1
447,3
448,1
449,1
450,2
451,2
452,0
453,2
454,1
455,2
456,0
457,1
458,2
459,0
460,1
461,1
462,0
463,1
464,2
465,2
466,0
467,3
468,7
469,3
470,3
471,5
472,3
473,5
474,5
475,4
476,6
477,4
478,1
479,3
480,3
481,3
482,3
483,2
484,4
485,3
486,4
487,4
488,2
489,3
490,4
491,5
492,7
493,6
494,3
495,3
496,7
497,6
498,1
499,3
500,6
501,7
502,13
503,19
504,17
505,18
506,21
507,25
508,28
509,18
510,14
511,15
512,24
513,19
514,8
515,7
516,11
517,15
518,15
519,13
520,12
521,2
522,8
523,7
524,7
525,7
526,5
527,12
528,10
529,10
530,8
531,12
532,13
533,10
534,14
535,15
536,18
537,15
538,15
539,24
540,31
541,27
542,14
543,9
544,13
545,16
546,20
547,22
548,20
549,20
550,25
551,17
552,24
553,20
554,22
555,23
556,28
557,20
558,15
559,19
560,13
561,18
562,17
563,17
564,17
565,18
566,17
567,15
568,15
569,14
570,14
571,10
572,8
573,2
574,3
575,7
576,9
577,4
578,2
579,7
580,1
581,6
582,7
583,10
584,10
585,3
586,0
587,0
588,2
589,2
590,6
591,5
592,2
593,15
594,15
595,6
596,8
597,8
598,7
599,11
600,8
601,6
602,9
603,7
604,3
605,15
606,9
607,7
608,0
609,4
610,8
611,6
612,8
613,8
614,9
615,16
616,16
617,14
618,9
619,10
620,3
621,10
622,7
623,3
624,24
625,12
626,8
627,9
628,10
629,4
630,9
631,13
632,15
633,6
634,5
635,8
636,7
637,5
638,5
639,8
640,5
641,3
642,10
643,8
644,8
645,2
646,0
647,0
648,2
649,4
650,13
651,8
652,8
653,14
654,7
655,1
656,6
657,0
658,3
659,14
660,17
661,11
662,20
663,22
664,11
665,6
666,3
667,16
668,6
669,7
670,6
671,7
672,13
673,3
674,5
675,2
676,0
677,0
678,0
679,1
680,1
681,0
682,4
683,6
684,1
685,5
686,11
687,18
688,3
689,7
690,5
691,4
692,2
693,0
694,0
695,33
696,14
697,2
698,0
699,29
700,46
701,69
702,104
703,88
704,199
705,303
706,333
707,335
708,337
709,337
710,336
711,338
712,338
713,333
714,325
715,297
716,259
717,257
718,257
719,259
720,255
721,256
722,263
723,257
724,263
725,257
726,266
727,253
728,255
729,254
730,263
731,258
732,249
733,241
734,228
735,230
736,220
737,223
738,220
739,221
740,228
741,233
742,227
743,219
744,219
745,206
746,218
747,224
748,257
749,267
750,277
751,262
752,271
753,271
754,271
755,264
756,272
757,259
758,255
759,259
760,252
761,254
762,263
763,272
764,293
765,296
766,332
767,327
768,333
769,337
770,340
771,336
772,334
773,336
774,323
775,303
776,292
777,110
778,126
779,184
780,156
781,16
782,34
783,29
784,6
785,8
786,3
787,7
788,6
789,3
790,1
791,0
792,3
793,0
794,0
795,0
796,0
797,0
798,2
799,0
800,1
801,1
802,2
803,2
804,2
805,0
806,0
807,3
808,6
809,8
810,7
811,6
812,13
813,28
814,39
815,38
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,16
831,16
832,32
833,24
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,32
876,32
877,32
878,74
879,90
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,31
897,31
898,6
899,6
900,1
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
